City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Mahon,ES,39.8885,4.2658,72.16,88,40,6.91,scattered clouds
212,Port Lincoln,AU,-34.7333,135.8667,65.39,62,36,12.33,scattered clouds
213,Altoona,US,40.5187,-78.3947,38.62,82,97,5.99,overcast clouds
214,Chicama,PE,-7.8447,-79.1469,57.74,84,100,4.9,overcast clouds
215,Tabas,IR,33.5959,56.9244,83.41,20,0,6.11,clear sky
216,Barcelona,ES,41.3888,2.159,73.33,89,75,4.61,broken clouds
217,Sorland,NO,67.667,12.6934,44.46,79,100,28.21,overcast clouds
218,Barcelos,PT,41.5388,-8.6151,62.85,89,100,12.88,light rain
219,Touros,BR,-5.1989,-35.4608,77.09,79,22,15.28,few clouds
220,Port Hardy,CA,50.6996,-127.4199,55.58,94,75,2.3,broken clouds
221,Puerto Madero,MX,14.7208,-92.4215,78.24,83,93,8.93,overcast clouds
222,Nabire,ID,-3.3667,135.4833,77.38,90,100,2.26,overcast clouds
223,Maxixe,MZ,-23.8597,35.3472,84.02,54,40,11.5,scattered clouds
224,Magistralnyy,RU,56.1725,107.4458,39.65,76,100,5.86,overcast clouds
225,Mitsamiouli,KM,-11.3847,43.2844,82.69,57,75,11.5,broken clouds
226,Cabo San Lucas,MX,22.8909,-109.9124,74.61,81,16,7.49,few clouds
227,Catamarca,AR,-28.4696,-65.7852,64.58,81,79,1.43,broken clouds
228,Kalabo,ZM,-14.97,22.6814,91.24,16,10,9.91,clear sky
229,Coahuayana,MX,18.7333,-103.6833,75.96,88,94,3.27,overcast clouds
230,Hofn,IS,64.2539,-15.2082,42.51,60,100,4.29,overcast clouds
231,Saint Anthony,US,45.0205,-93.218,28.89,70,0,4.61,clear sky
232,Jilin,CN,43.0,126.0,50.79,49,11,9.75,few clouds
233,Parvatipuram,IN,18.7833,83.4333,86.77,63,69,1.79,broken clouds
234,Celestun,MX,20.8667,-90.4,78.01,87,100,13.85,light rain
235,Flinders,AU,-34.5833,150.8552,67.24,92,100,5.97,overcast clouds
236,Severo-Kurilsk,RU,50.6789,156.125,38.98,72,87,32.99,light rain
237,Dauphin,CA,51.1494,-100.0502,44.74,33,0,8.05,clear sky
238,Carnarvon,AU,-24.8667,113.6333,72.34,68,0,14.72,clear sky
239,Bermejo,AR,-32.8833,-68.8,53.51,87,75,5.75,broken clouds
240,Santo Domingo,DO,18.5001,-69.9886,76.93,90,8,2.82,clear sky
241,Puerto Escondido,MX,15.85,-97.0667,79.03,77,100,15.55,overcast clouds
242,Berlevag,NO,70.8578,29.0864,41.0,87,75,24.16,light rain
243,Kodiak,US,57.79,-152.4072,43.83,79,100,13.2,overcast clouds
244,Qaanaaq,GL,77.484,-69.3632,1.58,79,90,7.49,overcast clouds
245,Constitucion,CL,-35.3333,-72.4167,48.94,86,1,2.04,clear sky
246,Whyalla,AU,-33.0333,137.5833,63.99,73,98,5.37,overcast clouds
247,Bria,CF,6.5423,21.9863,79.27,73,38,3.65,scattered clouds
248,Carmen,MX,18.6333,-91.8333,77.31,88,100,9.31,light rain
249,Cabiraoan,PH,18.3238,122.086,76.26,95,100,8.34,overcast clouds
250,Jingdezhen,CN,29.2947,117.2079,74.39,24,3,8.1,clear sky
251,Riyadh,SA,24.6877,46.7219,89.74,9,19,3.33,few clouds
252,Vanimo,PG,-2.6741,141.3028,80.2,82,100,4.38,light rain
253,Talaya,RU,61.3833,152.75,9.81,88,100,12.41,overcast clouds
254,Avera,US,33.194,-82.5271,37.38,58,0,5.37,clear sky
255,Hohenstein-Ernstthal,DE,50.8,12.7167,50.34,87,89,5.46,overcast clouds
256,Weligama,LK,5.9667,80.4167,80.94,80,99,15.3,overcast clouds
257,Iskateley,RU,67.6803,53.1512,37.15,96,100,15.88,light rain
258,Vidalia,US,32.2177,-82.4135,40.95,70,0,3.44,clear sky
259,Pedernales,DO,18.0384,-71.744,79.07,75,3,3.18,clear sky
260,Prabumulih,ID,-3.45,104.25,83.32,82,100,3.42,overcast clouds
261,Provideniya,RU,64.3833,-173.3,32.09,89,100,20.04,overcast clouds
262,Khandyga,RU,62.6667,135.6,4.23,98,47,2.77,scattered clouds
263,Sur,OM,22.5667,59.5289,90.32,27,12,5.66,few clouds
264,Krasnoselkup,RU,65.7,82.4667,36.72,87,100,18.52,overcast clouds
265,Mount Isa,AU,-20.7333,139.5,91.17,31,0,16.11,clear sky
266,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,70,98,21.41,light rain
267,Bambous Virieux,MU,-20.3428,57.7575,77.25,61,40,14.97,scattered clouds
268,Barra Do Bugres,BR,-15.0725,-57.1811,73.74,74,77,0.36,broken clouds
269,Guaruja,BR,-23.9931,-46.2564,69.84,90,100,1.14,overcast clouds
