City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
205,Bambous Virieux,MU,2022-10-15 06:01:20,-20.3428,57.7575,77.25,61,75,14.97
206,Champerico,GT,2022-10-15 06:01:21,14.3,-91.9167,76.01,92,100,7.72
207,Oussouye,SN,2022-10-15 06:01:21,12.485,-16.5469,76.69,89,98,6.22
208,Broome,US,2022-10-15 06:01:21,42.2506,-75.833,46.85,78,11,1.01
209,Margate,GB,2022-10-15 06:01:22,51.3813,1.3862,59.31,96,48,1.99
210,Sechura,PE,2022-10-15 06:01:22,-5.5569,-80.8222,60.73,84,3,8.61
211,Bethel,US,2022-10-15 06:01:23,41.3712,-73.414,50.94,86,15,3.87
212,Anadyr,RU,2022-10-15 05:53:55,64.75,177.4833,30.7,80,40,0.0
213,Sao Filipe,CV,2022-10-15 05:52:56,14.8961,-24.4956,76.41,82,41,9.37
214,Berlevag,NO,2022-10-15 05:58:35,70.8578,29.0864,35.55,87,63,5.75
215,Hasaki,JP,2022-10-15 05:55:05,35.7333,140.8333,75.29,69,94,14.41
216,Sungurlu,TR,2022-10-15 06:01:24,40.1675,34.3739,56.07,64,100,3.74
217,Bima,ID,2022-10-15 06:01:25,-8.4667,118.7167,86.05,65,98,0.54
218,Cherskiy,RU,2022-10-15 06:01:25,68.75,161.3,8.78,95,100,6.46
219,Bredasdorp,ZA,2022-10-15 05:54:46,-34.5322,20.0403,58.5,90,100,15.12
220,Antofagasta,CL,2022-10-15 06:00:03,-23.65,-70.4,55.54,85,5,2.53
221,Priargunsk,RU,2022-10-15 06:01:26,50.3691,119.1012,40.64,34,69,23.24
222,Asfi,MA,2022-10-15 06:01:26,32.2994,-9.2372,71.44,63,99,9.55
223,San Quintin,MX,2022-10-15 06:01:27,30.4833,-115.95,65.19,73,78,3.29
224,Mana,GF,2022-10-15 06:01:27,5.6592,-53.7767,77.9,89,64,8.9
225,Kununurra,AU,2022-10-15 05:52:55,-15.7667,128.7333,102.18,29,75,9.22
226,Shadegan,IR,2022-10-15 06:01:28,30.6497,48.6647,90.5,24,0,3.91
227,Talaya,RU,2022-10-15 06:01:28,61.3833,152.75,5.88,97,90,1.16
228,Aleksandrovskoye,RU,2022-10-15 06:01:29,44.7142,43.0008,54.64,66,16,6.55
229,Tuatapere,NZ,2022-10-15 06:01:29,-46.1333,167.6833,59.56,60,21,0.25
230,Le Mars,US,2022-10-15 06:01:44,42.7942,-96.1656,35.37,80,0,0.0
231,Leningradskiy,RU,2022-10-15 06:01:45,69.3833,178.4167,12.18,79,22,5.55
232,Nanakuli,US,2022-10-15 06:01:45,21.3906,-158.1547,78.12,73,100,8.05
233,Henties Bay,NA,2022-10-15 06:00:00,-22.116,14.2845,57.83,88,52,4.68
234,Shingu,JP,2022-10-15 06:01:45,33.7333,135.9833,74.77,72,3,3.94
235,Amahai,ID,2022-10-15 06:01:46,-3.3333,128.9167,85.42,70,73,7.94
236,Veraval,IN,2022-10-15 06:01:15,20.9,70.3667,87.8,42,54,9.64
237,Camacha,PT,2022-10-15 05:58:43,33.0833,-16.3333,65.62,77,20,4.61
238,Yichun,CN,2022-10-15 06:01:46,47.7,128.9,53.98,43,46,9.6
239,Samarai,PG,2022-10-15 06:01:47,-10.6167,150.6667,83.35,74,90,11.86
240,Iwanai,JP,2022-10-15 06:01:47,42.9744,140.5089,61.09,81,88,3.53
241,Livingston,GB,2022-10-15 06:01:12,55.9029,-3.5226,46.89,85,0,8.05
242,Lunca Banului,RO,2022-10-15 06:01:47,46.595,28.1683,46.71,57,43,3.18
243,Namwala,ZM,2022-10-15 06:01:48,-15.7504,26.4384,80.38,23,6,10.71
