City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
118,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
122,Yuma,US,81.32,overcast clouds,32.7253,-114.6244,Best Western Yuma Mall Hotel & Suites
126,Buluang,PH,84.61,moderate rain,13.3068,123.3425,Sacueza Beach Resort
128,Dawei,MM,87.98,scattered clouds,14.0833,98.2,Hotel Dawei
130,Puerto El Triunfo,SV,76.03,broken clouds,13.2833,-88.55,Hotel Jardin
132,Cap Malheureux,MU,77.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
147,Kahului,US,76.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
152,Cockburn Town,TC,82.45,few clouds,21.4612,-71.1419,Osprey Beach Hotel
157,Cayenne,GF,75.24,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
159,Kolondieba,ML,77.38,clear sky,11.0882,-6.8926,Park
164,Koratagere,IN,81.3,overcast clouds,13.5228,77.2331,HALLIMANE HOTEL
165,Saint-Pierre,RE,76.68,broken clouds,-21.3393,55.4781,Alize Plage
167,Port Hedland,AU,87.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
175,Belmopan,BZ,77.38,overcast clouds,17.25,-88.7667,Villa San Juan
177,Najran,SA,83.05,clear sky,17.4924,44.1277,محمد هادي ال فطيح
178,Muzaffarabad,PK,78.53,few clouds,34.37,73.4711,Pearl Continental Muzaffarabad
179,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,Le four à pain
182,Akyab,MM,86.02,clear sky,20.15,92.9,ဟိုတယ် မန်မိုရီ
184,Nanakuli,US,75.87,few clouds,21.3906,-158.1547,Camp Pālehua
185,Santa Ana,US,78.06,clear sky,33.7456,-117.8678,"Motel 6 Santa Ana, CA"
186,Sinnamary,GF,76.89,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
188,Ndjole,GA,75.42,light rain,-0.1783,10.7649,Motel Kédyann
189,Hilo,US,78.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
190,Lompoc,US,76.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
194,Kavieng,PG,83.17,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
196,Inhambane,MZ,84.18,scattered clouds,-23.865,35.3833,Oceano
200,Butaritari,KI,81.79,few clouds,3.0707,172.7902,Isles Sunset Lodge
205,Kakching,IN,80.38,few clouds,24.4833,93.9833,Mimi Singju
206,Grand Gaube,MU,77.4,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
207,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
215,Tabas,IR,83.41,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
219,Touros,BR,77.09,few clouds,-5.1989,-35.4608,INN NEW HORIZON
221,Puerto Madero,MX,78.24,overcast clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
